model,family,method,epoch,train_loss,train_accuracy,val_macro_f1,val_accuracy
convnext_tiny_emotion,cnn,attention_pooling,1,1.1724,0.2162,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,2,0.9201,0.5405,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,3,0.6681,0.8108,0.5091,0.6154
convnext_tiny_emotion,cnn,attention_pooling,4,0.5774,0.8108,0.5091,0.6154
convnext_tiny_emotion,cnn,attention_pooling,5,0.4970,0.8919,0.5091,0.6154
convnext_tiny_emotion,cnn,attention_pooling,6,0.3661,0.9189,0.5091,0.6154
convnext_tiny_emotion,cnn,attention_pooling,7,0.3080,0.9459,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,8,0.2603,0.9730,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,9,0.2129,0.9730,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,10,0.1681,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,11,0.1534,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,12,0.1331,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,13,0.1138,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,14,0.1067,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,15,0.0824,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,16,0.0728,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,17,0.0654,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,18,0.0584,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,19,0.0476,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,20,0.0513,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,21,0.0372,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,22,0.0353,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,23,0.0294,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,24,0.0283,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,25,0.0200,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,26,0.0223,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,27,0.0212,1.0000,0.4848,0.6154
convnext_tiny_emotion,cnn,attention_pooling,28,0.0164,1.0000,0.4848,0.6154
vit_face_expression,vit,attention_pooling,1,1.2392,0.2703,0.5152,0.5385
vit_face_expression,vit,attention_pooling,2,0.6717,0.8378,0.5889,0.6154
vit_face_expression,vit,attention_pooling,3,0.4548,0.9730,0.7111,0.7692
vit_face_expression,vit,attention_pooling,4,0.3120,0.9730,0.7111,0.7692
vit_face_expression,vit,attention_pooling,5,0.2332,1.0000,0.7111,0.7692
vit_face_expression,vit,attention_pooling,6,0.1863,1.0000,0.7111,0.7692
