model,family,method,label,precision,recall,f1,support
convnext_tiny_emotion,cnn,attention_pooling,negative,0.3333,0.8750,0.4828,8
convnext_tiny_emotion,cnn,attention_pooling,neutral,1.0000,0.6667,0.8000,30
convnext_tiny_emotion,cnn,attention_pooling,positive,0.6667,0.5000,0.5714,12
convnext_tiny_emotion,cnn,mean_embedding_hgb,negative,0.1852,0.6250,0.2857,8
convnext_tiny_emotion,cnn,mean_embedding_hgb,neutral,1.0000,0.5333,0.6957,30
convnext_tiny_emotion,cnn,mean_embedding_hgb,positive,0.1429,0.0833,0.1053,12
convnext_tiny_emotion,cnn,mean_embedding_logreg,negative,0.2609,0.7500,0.3871,8
convnext_tiny_emotion,cnn,mean_embedding_logreg,neutral,0.7895,0.5000,0.6122,30
convnext_tiny_emotion,cnn,mean_embedding_logreg,positive,0.3750,0.2500,0.3000,12
vit_face_expression,vit,attention_pooling,negative,0.3043,0.8750,0.4516,8
vit_face_expression,vit,attention_pooling,neutral,0.9524,0.6667,0.7843,30
vit_face_expression,vit,attention_pooling,positive,0.8333,0.4167,0.5556,12
vit_face_expression,vit,mean_embedding_hgb,negative,0.2593,0.8750,0.4000,8
vit_face_expression,vit,mean_embedding_hgb,neutral,0.9474,0.6000,0.7347,30
vit_face_expression,vit,mean_embedding_hgb,positive,0.5000,0.1667,0.2500,12
vit_face_expression,vit,mean_embedding_logreg,negative,0.3077,1.0000,0.4706,8
vit_face_expression,vit,mean_embedding_logreg,neutral,1.0000,0.6000,0.7500,30
vit_face_expression,vit,mean_embedding_logreg,positive,0.8333,0.4167,0.5556,12
