model,family,scope,method,label,x,y
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2700
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2727
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2755
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2784
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2812
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2842
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2872
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2903
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2935
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.2967
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3000
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3034
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3068
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3103
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3140
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3176
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3214
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3253
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3293
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3333
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3375
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3418
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3462
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,0.3506
convnext_tiny_emotion,cnn,all,single_frame,negative,0.9630,0.3421
convnext_tiny_emotion,cnn,all,single_frame,negative,0.9630,0.3467
convnext_tiny_emotion,cnn,all,single_frame,negative,0.9630,0.3514
convnext_tiny_emotion,cnn,all,single_frame,negative,0.9630,0.3562
convnext_tiny_emotion,cnn,all,single_frame,negative,0.9630,0.3611
convnext_tiny_emotion,cnn,all,single_frame,negative,0.9630,0.3662
