model,family,scope,method,label,x,y
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0000,0.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0137,0.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0274,0.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0274,0.0370
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0411,0.0370
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0411,0.1111
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0548,0.1111
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0548,0.1852
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0685,0.1852
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0685,0.2222
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0959,0.2222
convnext_tiny_emotion,cnn,all,single_frame,negative,0.0959,0.2963
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1507,0.2963
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1507,0.3333
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1644,0.3333
convnext_tiny_emotion,cnn,all,single_frame,negative,0.1644,0.3704
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2192,0.3704
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2192,0.4074
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2603,0.4074
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2603,0.4444
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2877,0.4444
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2877,0.5926
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3014,0.5926
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3014,0.6296
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3151,0.6296
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3151,0.6667
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3425,0.6667
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3425,0.7407
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3562,0.7407
convnext_tiny_emotion,cnn,all,single_frame,negative,0.3562,0.7778
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4110,0.7778
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4110,0.8148
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4247,0.8148
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4247,0.8519
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4795,0.8519
convnext_tiny_emotion,cnn,all,single_frame,negative,0.4795,0.8889
convnext_tiny_emotion,cnn,all,single_frame,negative,0.5068,0.8889
convnext_tiny_emotion,cnn,all,single_frame,negative,0.5068,0.9259
convnext_tiny_emotion,cnn,all,single_frame,negative,0.5753,0.9259
convnext_tiny_emotion,cnn,all,single_frame,negative,0.5753,0.9630
convnext_tiny_emotion,cnn,all,single_frame,negative,0.6849,0.9630
convnext_tiny_emotion,cnn,all,single_frame,negative,0.6849,1.0000
convnext_tiny_emotion,cnn,all,single_frame,negative,1.0000,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0000,0.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0000,0.0196
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0000,0.2745
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0408,0.2745
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0408,0.3529
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0612,0.3529
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0612,0.3922
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0816,0.3922
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0816,0.4118
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1020,0.4118
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1020,0.5882
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1429,0.5882
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1429,0.6471
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1633,0.6471
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.1633,0.6667
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2041,0.6667
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.2041,0.6863
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3061,0.6863
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3061,0.7059
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3673,0.7059
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.3673,0.7255
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4082,0.7255
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4082,0.7451
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4286,0.7451
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4286,0.7647
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4898,0.7647
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.4898,0.7843
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5102,0.7843
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5102,0.8039
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5510,0.8039
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.5510,0.8235
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6327,0.8235
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6327,0.8627
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6531,0.8627
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6531,0.8824
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6939,0.8824
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.6939,0.9020
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7143,0.9020
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7143,0.9216
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7347,0.9216
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7347,0.9412
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7755,0.9412
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.7755,0.9608
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9388,0.9608
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.9388,0.9804
convnext_tiny_emotion,cnn,all,single_frame,neutral,1.0000,0.9804
convnext_tiny_emotion,cnn,all,single_frame,neutral,1.0000,1.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.0000,0.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.0128,0.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.1923,0.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.1923,0.0455
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2436,0.0455
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2436,0.0909
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2564,0.0909
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2564,0.1364
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2692,0.1364
convnext_tiny_emotion,cnn,all,single_frame,positive,0.2692,0.1818
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3333,0.1818
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3333,0.2273
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3462,0.2273
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3462,0.3182
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3590,0.3182
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3590,0.3636
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3846,0.3636
convnext_tiny_emotion,cnn,all,single_frame,positive,0.3846,0.4091
convnext_tiny_emotion,cnn,all,single_frame,positive,0.5000,0.4091
convnext_tiny_emotion,cnn,all,single_frame,positive,0.5000,0.5000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.5769,0.5000
convnext_tiny_emotion,cnn,all,single_frame,positive,0.5769,0.5455
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6026,0.5455
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6026,0.5909
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6538,0.5909
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6538,0.6364
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6795,0.6364
